clip_id,source_id,source_path,clip_path,audio_path,start_time,end_time,expected_label,status,notes
MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_head_0p000_7p000,MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw,raw_sources\MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_Carson_Benge_s_diving_catch_Carson_Benge_s_diving_catch_Carson_Benge_s_diving_ca.mp4,clips\pending\MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_head_0p000_7p000\video.mp4,clips\pending\MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_head_0p000_7p000,MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win,raw_sources\MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_Luis_Lara_makes_the_catch_for_the_Brewers_win_Luis_Lara_makes_the_catch_for_the_.mp4,clips\pending\MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_head_0p000_7p000\video.mp4,clips\pending\MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a_head_0p000_6p000,MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a,raw_sources\MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a_Joey_Ortiz_throws_out_Jordan_Walker_in_the_bottom_of_the_3rd_Joey_Ortiz_throws_o.mp4,clips\pending\MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a_head_0p000_6p000\video.mp4,clips\pending\MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a_head_0p000_6p000\audio.wav,0.000,6.000,ground_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins_head_0p000_7p000,MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins,raw_sources\MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins_Paul_Goldschmidt_s_diving_snag_Paul_Goldschmidt_s_diving_snag_Paul_Goldschmidt_s.mp4,clips\pending\MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins_head_0p000_7p000\video.mp4,clips\pending\MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_head_0p000_7p000,MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-,raw_sources\MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_Isaac_Collins_RBI_double_Isaac_Collins_RBI_double_Isaac_Collins_RBI_double_Isaac.mp4,clips\pending\MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_head_0p000_7p000\video.mp4,clips\pending\MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823607_carson-benge-s-rbi-single_head_0p000_7p000,MLB_823607_carson-benge-s-rbi-single,raw_sources\MLB_823607_carson-benge-s-rbi-single_Carson_Benge_s_RBI_single_Carson_Benge_s_RBI_single_Carson_Benge_s_RBI_single_Ca.mp4,clips\pending\MLB_823607_carson-benge-s-rbi-single_head_0p000_7p000\video.mp4,clips\pending\MLB_823607_carson-benge-s-rbi-single_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_head_0p000_7p000,MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta,raw_sources\MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_sin.mp4,clips\pending\MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_head_0p000_7p000\video.mp4,clips\pending\MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1_head_0p000_7p000,MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1,raw_sources\MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1_Lane_Thomas_two-run_double_Lane_Thomas_two-run_double_Lane_Thomas_two-run_double.mp4,clips\pending\MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1_head_0p000_7p000\video.mp4,clips\pending\MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,needs_review,qwen3.5-omni-plus; label=reject; confidence=1.00
MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing_head_0p000_6p000,MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing,raw_sources\MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing_A.J._Ewing_s_RBI_single_A.J._Ewing_s_RBI_single_A.J._Ewing_s_RBI_single_A.J._Ewi.mp4,clips\pending\MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing_head_0p000_6p000\video.mp4,clips\pending\MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing_head_0p000_6p000\audio.wav,0.000,6.000,ground_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens_head_0p000_7p000,MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens,raw_sources\MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens_Kody_Clemens_RBI_triple_Kody_Clemens_RBI_triple_Kody_Clemens_RBI_triple_Kody_Cle.mp4,clips\pending\MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens_head_0p000_7p000\video.mp4,clips\pending\MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers_head_0p000_7p000,MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers,raw_sources\MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers_Tyler_Rogers_seals_Blue_Jays_win_Tyler_Rogers_seals_Blue_Jays_win_Tyler_Rogers_s.mp4,clips\pending\MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers_head_0p000_7p000\video.mp4,clips\pending\MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823202_george-springer-lines-out-to-shortstop-willy-adames_head_0p000_7p000,MLB_823202_george-springer-lines-out-to-shortstop-willy-adames,raw_sources\MLB_823202_george-springer-lines-out-to-shortstop-willy-adames_Willy_Adames_nice_spinning_catch_Willy_Adames_nice_spinning_catch_Willy_Adames_n.mp4,clips\pending\MLB_823202_george-springer-lines-out-to-shortstop-willy-adames_head_0p000_7p000\video.mp4,clips\pending\MLB_823202_george-springer-lines-out-to-shortstop-willy-adames_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson_head_0p000_7p000,MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson,raw_sources\MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson_Dansby_Swanson_amazing_diving_catch_Dansby_Swanson_amazing_diving_catch_Dansby_S.mp4,clips\pending\MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson_head_0p000_7p000\video.mp4,clips\pending\MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823605_carter-jensen-doubles-18-on-a-ground-ball-to-right-fielder-carson-ben_head_0p000_6p000,MLB_823605_carter-jensen-doubles-18-on-a-ground-ball-to-right-fielder-carson-ben,raw_sources\MLB_823605_carter-jensen-doubles-18-on-a-ground-ball-to-right-fielder-carson-ben_Carter_Jensen_s_RBI_double_Carter_Jensen_s_RBI_double_Carter_Jensen_s_RBI_double.mp4,clips\pending\MLB_823605_carter-jensen-doubles-18-on-a-ground-ball-to-right-fielder-carson-ben_head_0p000_6p000\video.mp4,clips\pending\MLB_823605_carter-jensen-doubles-18-on-a-ground-ball-to-right-fielder-carson-ben_head_0p000_6p000\audio.wav,0.000,6.000,ground_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823605_tobias-myers-in-play-run-s-to-salvador-perez_head_0p000_7p000,MLB_823605_tobias-myers-in-play-run-s-to-salvador-perez,raw_sources\MLB_823605_tobias-myers-in-play-run-s-to-salvador-perez_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_sin.mp4,clips\pending\MLB_823605_tobias-myers-in-play-run-s-to-salvador-perez_head_0p000_7p000\video.mp4,clips\pending\MLB_823605_tobias-myers-in-play-run-s-to-salvador-perez_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v_head_0p000_7p000,MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v,raw_sources\MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v_Cade_Smith_escapes_bases-loaded_jam_in_the_8th_Cade_Smith_escapes_bases-loaded_j.mp4,clips\pending\MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v_head_0p000_7p000\video.mp4,clips\pending\MLB_823684_cade-smith-in-play-out-s-to-brooks-lee-uqgy1v_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823684_connor-prielipp-in-play-out-s-to-gabriel-arias_head_0p000_6p000,MLB_823684_connor-prielipp-in-play-out-s-to-gabriel-arias,raw_sources\MLB_823684_connor-prielipp-in-play-out-s-to-gabriel-arias_Ryan_Kreidler_throws_out_Gabriel_Arias_Ryan_Kreidler_throws_out_Gabriel_Arias_Ry.mp4,clips\pending\MLB_823684_connor-prielipp-in-play-out-s-to-gabriel-arias_head_0p000_6p000\video.mp4,clips\pending\MLB_823684_connor-prielipp-in-play-out-s-to-gabriel-arias_head_0p000_6p000\audio.wav,0.000,6.000,ground_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_823279_jackson-merrill-s-rbi-ground-out_head_0p000_6p000,MLB_823279_jackson-merrill-s-rbi-ground-out,raw_sources\MLB_823279_jackson-merrill-s-rbi-ground-out_Jackson_Merrill_drives_in_Song_on_an_RBI_groundout_Jackson_Merrill_drives_in_Son.mp4,clips\pending\MLB_823279_jackson-merrill-s-rbi-ground-out_head_0p000_6p000\video.mp4,clips\pending\MLB_823279_jackson-merrill-s-rbi-ground-out_head_0p000_6p000\audio.wav,0.000,6.000,ground_ball,labeled,qwen3.5-omni-plus; confidence=0.95
MLB_822954_drew-rasmussen-in-play-out-s-to-trent-grisham_head_0p000_7p000,MLB_822954_drew-rasmussen-in-play-out-s-to-trent-grisham,raw_sources\MLB_822954_drew-rasmussen-in-play-out-s-to-trent-grisham_Ben_Williamson_s_diving_stop_Ben_Williamson_s_diving_stop_Ben_Williamson_s_divin.mp4,clips\pending\MLB_822954_drew-rasmussen-in-play-out-s-to-trent-grisham_head_0p000_7p000\video.mp4,clips\pending\MLB_822954_drew-rasmussen-in-play-out-s-to-trent-grisham_head_0p000_7p000\audio.wav,0.000,7.000,fly_ball,labeled,qwen3.5-omni-plus; confidence=0.95
